Time, New Command, Measured EIP, Command EIP, Measured DI, Command DI, Measured EDC, Command EDC, Measured PI, Command PI, Measured LUM, Command LUM, Measured FDS, Command FDS, Measured FDP, Command FDP, Force y, Mx, Force x, M z, M y, Force z,0.331121919
28.81,0,9.954526,10,-0.596777,10,4.963899,5,4.856291,5,30.971565,10,5.009683,5,4.955382,5,0.195302,0.290375,0.118599,0.022237,-0.176932,-0.019015,0.356933493
9.98,0,4.851895,5,-0.575125,5,4.898911,5,5.043316,5,31.302893,5,5.03996,5,4.969317,5,0.196591,0.303266,0.158884,0.024493,-0.226563,-0.045119,0.742209488
109.11,0,10.017556,10,-0.591364,10,4.864869,5,5.182791,5,30.828154,5,9.984438,10,9.983232,10,0.160818,0.248478,0.23462,0.017403,-0.320669,-0.041574,0.5891486
53.19,0,9.94332,10,-0.592718,10,5.035078,5,10.010558,10,30.370723,5,10.007728,10,5.025058,5,0.177576,0.271682,0.174998,0.019337,-0.254279,-0.04093,0.960813238
132.53,0,9.978337,10,-0.596777,10,4.74727,5,9.661868,10,30.838044,10,9.895935,10,9.907982,10,0.158562,0.242355,0.242677,0.017403,-0.331626,-0.046408,0.555422335
98.15,0,4.99056,5,-0.591364,5,5.038172,5,10.045427,10,30.956729,10,5.005025,5,10.033399,10,0.16823,0.25718,0.218184,0.017725,-0.299398,-0.047053,0.661067273
45.97,0,4.982156,5,-0.595424,5,9.983508,10,5.106714,5,30.689688,5,10.040334,10,5.01391,5,0.1866,0.283607,0.178543,0.020304,-0.257502,-0.045764,0.995090546
136.721,0,9.975536,10,-0.607603,10,10.008266,10,10.045427,10,30.687216,10,9.865658,10,9.896833,10,0.159529,0.245578,0.239777,0.016436,-0.330015,-0.041574,0.816145332
84.13,0,4.997564,5,-0.585951,10,5.001036,5,10.010558,10,30.922113,5,5.005025,5,9.997167,10,0.170164,0.259113,0.221407,0.018048,-0.301654,-0.04802,0.359105612
25.63,0,4.99056,5,-0.595424,5,4.889627,5,5.011617,5,31.161955,10,5.189016,5,4.955382,5,0.20207,0.298432,0.124078,0.023849,-0.181766,-0.030617,0.823817113
